Angola,7/12/2020,0.57949,0.56149,0.53822,0.51749,0.51521,0.50805,0.51053,0.51047,0.50648,0.5108,0.51515,0.46855,0.52028,0.51803,0.5053,0.50828,0.49882,0.50059,0.49503,0.50242,0.50988,0.52282,0.53979,0.5588,0.5798,0.60317,0.62819,0.64809,0.67059,0.67757
Argentina,3/26/2020,0.65149,0.63306,0.63801,0.62472,0.62889,0.63239,0.63395,0.64267,0.65307,0.66367,0.67432,0.64945,0.70015,0.70513,0.70083,0.70622,0.71122,0.70708,0.71054,0.71161,0.71109,0.70647,0.71031,0.70972,0.71349,0.71767,0.72472,0.72658,0.73769,0.74079
Australia,3/18/2020,0.54797,0.54328,0.54285,0.5464,0.55709,0.57256,0.59308,0.61756,0.64595,0.6763,0.70794,0.69963,0.78052,0.80695,0.83488,0.86042,0.87174,0.89481,0.90797,0.92496,0.93019,0.94554,0.94337,0.94898,0.94254,0.94991,0.94811,0.94519,0.94675,0.9419
Austria,3/13/2020,0.58635,0.57767,0.57209,0.56557,0.56972,0.5771,0.59006,0.60698,0.62848,0.65214,0.67778,0.67927,0.73311,0.75779,0.78021,0.802,0.82125,0.8384,0.85197,0.86425,0.87526,0.88277,0.8876,0.88851,0.90132,0.89927,0.90293,0.90687,0.91543,0.91683
Bahamas,7/30/2020,0.62057,0.60988,0.5749,0.5686,0.56347,0.54387,0.53236,0.52707,0.51987,0.51871,0.52222,0.49072,0.54209,0.53792,0.54734,0.56086,0.57172,0.58955,0.60272,0.62082,0.63164,0.64131,0.65645,0.6561,0.66439,0.66798,0.67037,0.67178,0.67835,0.67247
Bahrain,3/30/2020,0.58623,0.56245,0.53156,0.51398,0.48727,0.46792,0.44851,0.44939,0.45302,0.46921,0.48388,0.47173,0.54271,0.5695,0.59793,0.61665,0.63124,0.64121,0.64813,0.6514,0.65278,0.65508,0.65497,0.65832,0.65693,0.66042,0.65279,0.65197,0.64006,0.63232
Bangladesh,4/12/2020,0.63181,0.62223,0.61595,0.61193,0.61346,0.61734,0.62451,0.63274,0.64314,0.65337,0.66402,0.65167,0.68766,0.69599,0.70147,0.70672,0.71136,0.71474,0.71866,0.72145,0.72461,0.72525,0.72512,0.72694,0.7255,0.72501,0.72483,0.72383,0.72448,0.72318
Barbados,1/3/2021,0.59779,0.58962,0.5862,0.57492,0.58887,0.6012,0.58487,0.61108,0.62864,0.64412,0.64793,0.60228,0.66723,0.65662,0.65505,0.63916,0.6403,0.64137,0.65045,0.65429,0.67469,0.67914,0.69046,0.68433,0.69591,0.67828,0.66442,0.62884,0.62329,0.54741
Belarus,4/5/2020,0.53997,0.53305,0.52807,0.52485,0.52358,0.52775,0.53417,0.54281,0.55386,0.56433,0.5747,0.55864,0.5983,0.60585,0.61317,0.62164,0.62884,0.63554,0.64491,0.65434,0.66442,0.67516,0.68543,0.69539,0.70428,0.71253,0.7196,0.72598,0.73163,0.73692
Belgium,3/13/2020,0.58274,0.54726,0.52917,0.52053,0.51149,0.50265,0.49938,0.50209,0.50841,0.5224,0.53954,0.53753,0.58061,0.60105,0.62107,0.64149,0.65882,0.67712,0.69405,0.70255,0.71592,0.72522,0.73534,0.74334,0.75139,0.75872,0.76717,0.77359,0.77778,0.78479
Benin,6/16/2020,0.53826,0.52877,0.52348,0.52561,0.53608,0.55552,0.58413,0.62157,0.66713,0.70344,0.76529,0.72376,0.88717,0.90876,0.91814,0.88022,0.85105,0.78634,0.77266,0.74869,0.73483,0.71113,0.69359,0.68883,0.68876,0.68842,0.683,0.69607,0.70629,0.71354
Bolivia,4/19/2020,0.68931,0.6779,0.66154,0.65191,0.63457,0.6247,0.61718,0.61418,0.60478,0.60773,0.60735,0.58549,0.61564,0.61801,0.62142,0.63042,0.63561,0.63512,0.64317,0.64492,0.64903,0.65239,0.65409,0.65441,0.65413,0.65112,0.6532,0.64665,0.64944,0.64879
Bosnia and Herzegovina,4/2/2020,0.58712,0.57201,0.55639,0.55148,0.54559,0.54403,0.54923,0.55568,0.57266,0.58174,0.60104,0.56412,0.64655,0.64464,0.64498,0.64941,0.64869,0.64007,0.62716,0.62095,0.61053,0.60462,0.59615,0.59925,0.60041,0.61056,0.6209,0.63475,0.6451,0.66445
Botswana,7/16/2020,0.56211,0.53198,0.50766,0.49095,0.48366,0.48738,0.50317,0.53139,0.57164,0.62293,0.68409,0.59104,0.73388,0.74201,0.66514,0.65353,0.60342,0.55308,0.49633,0.46908,0.42879,0.41891,0.42962,0.44141,0.48251,0.46961,0.53496,0.57554,0.61128,0.63839
Brazil,3/19/2020,0.59266,0.5823,0.56505,0.56052,0.55063,0.53775,0.5312,0.5308,0.5352,0.54412,0.55268,0.54517,0.57987,0.5898,0.60622,0.61448,0.62495,0.63641,0.64479,0.6503,0.65363,0.65157,0.65022,0.64512,0.64117,0.63355,0.62261,0.61167,0.59796,0.58997
Bulgaria,4/4/2020,0.58355,0.56532,0.53535,0.50812,0.48393,0.45572,0.4172,0.41648,0.39375,0.37683,0.369,0.32001,0.36035,0.35723,0.36221,0.37154,0.38632,0.40223,0.42175,0.44586,0.47086,0.49536,0.51675,0.53848,0.55118,0.55914,0.5681,0.57709,0.5848,0.5919
Burkina Faso,4/14/2020,0.59388,0.57449,0.55767,0.54622,0.54147,0.53501,0.53751,0.53612,0.50746,0.51908,0.49767,0.39532,0.44996,0.37611,0.32353,0.26553,0.23215,0.19858,0.20822,0.20388,0.24612,0.30179,0.33444,0.40463,0.46237,0.51438,0.55454,0.55141,0.58018,0.55798
Cambodia,2/20/2021,0.54567,0.54891,0.56022,0.54038,0.55859,0.56185,0.57262,0.57987,0.59,0.60064,0.58104,0.55576,0.603,0.60505,0.60906,0.59456,0.60375,0.6071,0.61094,0.62022,0.61981,0.61516,0.6208,0.61349,0.61488,0.61723,0.61173,0.60546,0.60313,0.60543
Cameroon,4/3/2020,0.56482,0.54347,0.53777,0.48512,0.49914,0.48939,0.44076,0.42909,0.40673,0.37844,0.35305,0.29042,0.30944,0.30209,0.27502,0.22935,0.2474,0.2358,0.25508,0.23887,0.27221,0.29981,0.33397,0.31918,0.3672,0.37827,0.38051,0.37316,0.3767,0.36454
